feature,importance_mean,importance_std
REGION,0.19200609756097564,0.02051548843874058
CONTRACEPTIVE_METHOD,0.005491869918699177,0.0021270652948271332
RELIGION,0.005079268292682909,0.0017824392079511641
HUSBAND_AGE,0.0028963414634145977,0.003241952747622953
PARITY,0.002050813008130048,0.0017938520513410842
PATTERN_USE,0.00102439024390244,0.003270819716334513
AGE,0.0005873983739837441,0.002683526509723559
MARITAL_STATUS,0.0004024390243902276,0.0011446464433193379
REASON_DISCONTINUED,0.00036788617886178155,0.0008390617113713727
RESIDING_WITH_PARTNER,0.00034349593495932587,0.0008058090821152087
SMOKE_CIGAR,0.00017479674796745947,0.002467854674763054
HUSBANDS_EDUC,0.00011585365853657437,0.001775137439414835
LAST_SOURCE_TYPE,0.0,0.0
TOLD_ABT_SIDE_EFFECTS,0.0,0.0
HOUSEHOLD_HEAD_SEX,-0.0001565040650406413,0.000894703811569439
ETHNICITY,-0.00023780487804876959,0.0012149151159015076
HSBND_DESIRE_FOR_MORE_CHILDREN,-0.0004634146341463641,0.0010002313170230956
WANT_LAST_PREGNANCY,-0.0005081300813008394,0.0007843000561615858
EDUC_LEVEL,-0.0008882113821138182,0.0014616223781143598
PARTNER_EDUC,-0.0011829268292683215,0.0007250031624511483
WANT_LAST_CHILD,-0.0011991869918699105,0.00040843039513002873
LAST_METHOD_DISCONTINUED,-0.0017804878048780337,0.00210899229559411
DESIRE_FOR_MORE_CHILDREN,-0.002660569105691063,0.0011913742328202703
OCCUPATION,-0.00316666666666669,0.001801134145235938
MONTH_USE_CURRENT_METHOD,-0.006272357723577232,0.004163643559257362
