feature,mean_abs_shap
cat__HUSBAND_AGE_36,0.83553565
cat__MONTH_USE_CURRENT_METHOD_25,0.7970869
cat__HUSBAND_AGE_25,0.65906966
cat__MONTH_USE_CURRENT_METHOD_17,0.64858615
cat__HUSBANDS_EDUC_No Education,0.62909085
cat__HUSBAND_AGE_31,0.523692
cat__REGION_NCR,0.5235503
cat__HUSBAND_AGE_53,0.5072632
cat__MONTH_USE_CURRENT_METHOD_15,0.48480165
num__AGE,0.4828393
cat__HUSBAND_AGE_44,0.43597534
cat__PATTERN_USE_1,0.43119562
cat__MONTH_USE_CURRENT_METHOD_8,0.35252956
cat__MONTH_USE_CURRENT_METHOD_4,0.34082982
cat__HUSBAND_AGE_34,0.33500758
cat__MONTH_USE_CURRENT_METHOD_3,0.32773638
cat__RELIGION_Muslim,0.31513742
num__PARITY,0.2932821
cat__HUSBAND_AGE_37,0.2807456
cat__HUSBAND_AGE_21,0.252856
cat__HUSBAND_AGE_47,0.2481651
cat__CONTRACEPTIVE_METHOD_IUD,0.23617357
cat__HUSBAND_AGE_48,0.2331946
cat__CONTRACEPTIVE_METHOD_Withdrawal,0.23310393
cat__MONTH_USE_CURRENT_METHOD_35,0.23252112
cat__HUSBAND_AGE_39,0.23235348
cat__LAST_METHOD_DISCONTINUED_Pills,0.22848065
cat__OCCUPATION_Student,0.21973836
cat__HUSBAND_AGE_28,0.20610783
cat__LAST_METHOD_DISCONTINUED_Injectables,0.18845312
cat__HUSBAND_AGE_43,0.18522577
cat__REASON_DISCONTINUED_Partner disapproval,0.1747971
cat__HUSBAND_AGE_46,0.16848671
cat__PATTERN_USE_Stopped recently,0.16769655
cat__MONTH_USE_CURRENT_METHOD_9,0.16430421
cat__HUSBAND_AGE_55,0.16045742
cat__LAST_METHOD_DISCONTINUED_IUD,0.15511416
cat__REASON_DISCONTINUED_Others,0.14961839
cat__MONTH_USE_CURRENT_METHOD_27,0.14912947
cat__HUSBAND_AGE_27,0.1479991
cat__EDUC_LEVEL_College,0.14597774
cat__MONTH_USE_CURRENT_METHOD_21,0.14400315
cat__RELIGION_Others,0.14388768
cat__MARITAL_STATUS_Living together,0.1429684
cat__HUSBAND_AGE_54,0.14103706
cat__CONTRACEPTIVE_METHOD_Pills,0.140844
cat__MONTH_USE_CURRENT_METHOD_31,0.14070955
cat__MARITAL_STATUS_Single,0.13856865
cat__MONTH_USE_CURRENT_METHOD_13,0.13598527
cat__HOUSEHOLD_HEAD_SEX_Female,0.1353717
cat__RELIGION_Born Again Christian,0.12882243
cat__MARITAL_STATUS_Widowed,0.1285457
cat__ETHNICITY_Tagalog,0.12849662
cat__OCCUPATION_Vendor,0.12815498
cat__ETHNICITY_Ilocano,0.12672071
cat__OCCUPATION_Professional,0.12567063
cat__HUSBAND_AGE_49,0.12033342
cat__HUSBAND_AGE_50,0.11857458
cat__MONTH_USE_CURRENT_METHOD_1,0.11847428
cat__OCCUPATION_Unemployed,0.11718116
cat__HUSBAND_AGE_20,0.11646461
cat__OCCUPATION_Clerk,0.114748605
cat__EDUC_LEVEL_Primary,0.11434489
cat__MONTH_USE_CURRENT_METHOD_18,0.11387846
cat__PARTNER_EDUC_College,0.11208721
cat__HUSBAND_AGE_45,0.11075008
cat__OCCUPATION_Service worker,0.105974935
cat__MONTH_USE_CURRENT_METHOD_24,0.10398272
cat__LAST_METHOD_DISCONTINUED_Implants,0.103346184
cat__DESIRE_FOR_MORE_CHILDREN_No,0.10154776
cat__LAST_METHOD_DISCONTINUED_  ,0.10058226
cat__WANT_LAST_PREGNANCY_No,0.09738421
cat__RELIGION_Iglesia ni Cristo,0.09671095
cat__PATTERN_USE_Consistent,0.09437547
cat__MONTH_USE_CURRENT_METHOD_29,0.088076144
cat__MONTH_USE_CURRENT_METHOD_16,0.08743074
cat__WANT_LAST_CHILD_Wanted later,0.087315045
cat__ETHNICITY_Bicolano,0.086741485
cat__MONTH_USE_CURRENT_METHOD_34,0.08623555
cat__MONTH_USE_CURRENT_METHOD_14,0.085230686
cat__MONTH_USE_CURRENT_METHOD_2,0.084290005
cat__MONTH_USE_CURRENT_METHOD_6,0.08337373
cat__EDUC_LEVEL_Vocational,0.082096495
cat__HUSBAND_AGE_26,0.07998902
cat__HSBND_DESIRE_FOR_MORE_CHILDREN_Unknown,0.07750141
cat__MARITAL_STATUS_Married,0.0760534
cat__HUSBAND_AGE_42,0.073375374
cat__HUSBANDS_EDUC_Vocational,0.072618686
cat__OCCUPATION_Housewife,0.07257388
cat__HUSBAND_AGE_40,0.07027635
cat__HUSBAND_AGE_52,0.069825634
cat__HUSBANDS_EDUC_Primary,0.06976319
cat__REASON_DISCONTINUED_Side effects,0.06895217
cat__HUSBAND_AGE_33,0.068061315
cat__HUSBAND_AGE_22,0.06792066
cat__HSBND_DESIRE_FOR_MORE_CHILDREN_No,0.06550789
