feature,importance_mean,importance_std
PATTERN_USE,0.1826937642009594,0.027206756297595662
PARITY,0.009085458217621818,0.004990126621960642
SMOKE_CIGAR,0.006545064377682419,0.006290488125997258
CONTRACEPTIVE_METHOD,0.004777833880333255,0.0026745656763547372
HUSBAND_AGE,0.003537616763443585,0.008490565752749115
AGE,0.002818101489522862,0.004957843266774817
DESIRE_FOR_MORE_CHILDREN,0.00024299419338551508,0.0022224567203638977
RESIDING_WITH_PARTNER,0.0,0.0
WANT_LAST_PREGNANCY,0.0,0.0
REASON_DISCONTINUED,0.0,0.0
LAST_METHOD_DISCONTINUED,0.0,0.0
LAST_SOURCE_TYPE,0.0,0.0
TOLD_ABT_SIDE_EFFECTS,0.0,0.0
EDUC_LEVEL,0.0,0.0
MONTH_USE_CURRENT_METHOD,0.0,0.0
RELIGION,0.0,0.0
WANT_LAST_CHILD,0.0,0.0
REGION,0.0,0.0
PARTNER_EDUC,0.0,0.0
MARITAL_STATUS,0.0,0.0
HUSBANDS_EDUC,0.0,0.0
OCCUPATION,0.0,0.0
HSBND_DESIRE_FOR_MORE_CHILDREN,0.0,0.0
HOUSEHOLD_HEAD_SEX,-0.0015368593789446994,0.0017316258389743421
ETHNICITY,-0.003035849532946211,0.0025165470049244533
