feature,importance_mean,importance_std
CONTRACEPTIVE_METHOD,0.009100000000000007,0.003491418050019221
OCCUPATION,0.008700000000000008,0.0027037011669191575
HUSBANDS_EDUC,0.003700000000000003,0.002703701166919157
RELIGION,0.003300000000000003,0.003648287269390943
HUSBAND_AGE,0.003300000000000003,0.0066715815216483775
LAST_METHOD_DISCONTINUED,0.0030000000000000027,0.0035496478698597727
EDUC_LEVEL,0.0029000000000000024,0.0031921779399024766
ETHNICITY,0.0028000000000000026,0.001939071942966533
REASON_DISCONTINUED,0.002100000000000002,0.0021424285285628567
MARITAL_STATUS,0.0020000000000000018,0.0018973665961010292
DESIRE_FOR_MORE_CHILDREN,0.00020000000000000017,0.001989974874213242
AGE,0.00020000000000000017,0.005095095681142804
PARTNER_EDUC,0.00010000000000000009,0.0016093476939431097
LAST_SOURCE_TYPE,0.0,0.0
TOLD_ABT_SIDE_EFFECTS,0.0,0.0
RESIDING_WITH_PARTNER,-0.003100000000000003,0.0021424285285628567
WANT_LAST_CHILD,-0.0043000000000000035,0.0018193405398660267
WANT_LAST_PREGNANCY,-0.005100000000000005,0.0011789826122551607
MONTH_USE_CURRENT_METHOD,-0.005700000000000005,0.005487257967327584
HSBND_DESIRE_FOR_MORE_CHILDREN,-0.006000000000000005,0.002280350850198278
PARITY,-0.006300000000000005,0.004255584566190647
HOUSEHOLD_HEAD_SEX,-0.007500000000000007,0.0023558437978779515
SMOKE_CIGAR,-0.023900000000000022,0.005309425580983318
PATTERN_USE,-0.028500000000000025,0.005722761571129804
REGION,-0.04200000000000004,0.0093166517590817
