name,start,len,dtype
CASEID,1,15,Alpha
PIDX,16,2,Numeric
V000,18,3,Alpha
V001,21,6,Numeric
V002,27,6,Numeric
V003,33,3,Numeric
V004,36,4,Numeric
V005,40,8,Numeric
V006,48,2,Numeric
V007,50,4,Numeric
V008,54,4,Numeric
V008A,58,5,Numeric
V009,63,2,Numeric
V010,65,4,Numeric
V011,69,4,Numeric
V012,73,2,Numeric
V013,75,1,Numeric
V014,76,1,Numeric
V015,77,1,Numeric
V016,78,2,Numeric
V017,80,4,Numeric
V018,84,2,Numeric
V019,86,2,Numeric
V019A,88,1,Numeric
V020,89,1,Numeric
V021,90,4,Numeric
V022,94,4,Numeric
V023,98,4,Numeric
V024,102,2,Numeric
V025,104,1,Numeric
V026,105,1,Numeric
V027,106,1,Numeric
V028,107,5,Numeric
V029,112,3,Numeric
V030,115,5,Numeric
V031,120,5,Numeric
V032,125,3,Numeric
V034,128,2,Numeric
V040,130,4,Numeric
V042,134,1,Numeric
V044,135,1,Numeric
V045A,136,3,Numeric
V045B,139,3,Numeric
V045C,142,3,Numeric
V046,145,1,Numeric
V047,146,5,Numeric
V048,151,5,Numeric
V101,156,2,Numeric
V102,158,1,Numeric
V103,159,1,Numeric
V104,160,2,Numeric
V105,162,1,Numeric
V105A,163,2,Numeric
V106,165,1,Numeric
V107,166,2,Numeric
V113,168,2,Numeric
V115,170,3,Numeric
V116,173,2,Numeric
V119,175,1,Numeric
V120,176,1,Numeric
V121,177,1,Numeric
V122,178,1,Numeric
V123,179,1,Numeric
V124,180,1,Numeric
V125,181,1,Numeric
V127,182,2,Numeric
V128,184,2,Numeric
V129,186,2,Numeric
V130,188,2,Numeric
V131,190,3,Numeric
V133,193,2,Numeric
V134,195,1,Numeric
V135,196,1,Numeric
V136,197,2,Numeric
V137,199,2,Numeric
V138,201,2,Numeric
V139,203,2,Numeric
V140,205,1,Numeric
V141,206,1,Numeric
V149,207,1,Numeric
V150,208,2,Numeric
V151,210,1,Numeric
V152,211,2,Numeric
V153,213,1,Numeric
AWFACTT,214,5,Numeric
AWFACTU,219,5,Numeric
AWFACTR,224,5,Numeric
AWFACTE,229,5,Numeric
AWFACTW,234,5,Numeric
V155,239,1,Numeric
V156,240,1,Numeric
V157,241,1,Numeric
V158,242,1,Numeric
V159,243,1,Numeric
V160,244,1,Numeric
V161,245,2,Numeric
V166,247,3,Numeric
V167,250,2,Numeric
V168,252,1,Numeric
V169A,253,1,Numeric
V169B,254,1,Numeric
V169C,255,1,Numeric
V170,256,1,Numeric
V171A,257,1,Numeric
V171B,258,1,Numeric
V172,259,2,Numeric
V173,261,2,Numeric
V174M,263,2,Numeric
V174Y,265,4,Numeric
V175,269,2,Numeric
V176,271,1,Numeric
V177,272,1,Numeric
V190,273,1,Numeric
V191,274,8,Numeric
V190A,282,1,Numeric
V191A,283,8,Numeric
ML101,291,1,Numeric
V201,292,2,Numeric
V202,294,2,Numeric
V203,296,2,Numeric
V204,298,2,Numeric
V205,300,2,Numeric
V206,302,2,Numeric
V207,304,2,Numeric
V208,306,1,Numeric
V209,307,1,Numeric
V210,308,1,Numeric
V211,309,4,Numeric
V212,313,2,Numeric
V213,315,1,Numeric
V214,316,2,Numeric
V214A,318,3,Numeric
V215,321,3,Numeric
V216,324,1,Numeric
V217,325,1,Numeric
V218,326,2,Numeric
V219,328,2,Numeric
V220,330,1,Numeric
V221,331,3,Numeric
V222,334,3,Numeric
V223,337,1,Numeric
V224,338,2,Numeric
V225,340,1,Numeric
V226,341,3,Numeric
V227,344,1,Numeric
